sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.0886482	0.100434	-6.79075e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.211654	0.0998864	-4.4264e-09
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.310337	0.100009	-9.14833e-09
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.361561	0.100554	-2.12781e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	-0.0111595	0.100103	-1.22907e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.135316	0.10034	-1.02822e-08
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.0755695	0.0998245	-1.45024e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	-0.162389	0.0998225	8.69578e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.0977438	0.0998414	-1.49462e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	0.00228612	0.099749	4.04663e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.0620493	0.100054	-6.52531e-10
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.233834	0.100009	7.66488e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.113731	0.100289	-2.27499e-08
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-4.18178	0.106099	-1.17427e-07
1	13	29	0	0.0	1.0	0.0
1	14	30	0	4.32971	0.0981077	1.94606e-07
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.215263	0.100078	-1.03081e-08
2	1	33	0	0.0	1.0	0.0
