sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.263663	0.100216	9.75338e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.745625	0.0998003	2.40913e-08
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.118389	0.0999708	-1.33815e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.241523	0.100101	-1.80799e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	0.0189125	0.100173	-1.54672e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.543863	0.0998731	7.53557e-09
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.0192688	0.0997583	-6.31693e-09
0	15	15	0	0.0	1.0	0.0
1	0	16	0	0.0126119	0.099397	3.40104e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.0702286	0.100138	-1.26408e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	4.05756	0.0980433	1.49502e-07
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.055527	0.0999636	1.07205e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.442229	0.0999132	1.01504e-08
1	9	25	0	0.0	1.0	0.0
1	10	26	0	-0.867049	0.100521	-3.33896e-08
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-4.06827	0.106062	-1.04928e-07
1	13	29	0	0.0	1.0	0.0
1	14	30	0	5.05873	0.063412	1.19781e-06
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.109398	0.100063	-7.7511e-09
2	1	33	0	0.0	1.0	0.0
