sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.196312	0.100957	-5.87e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.610469	0.0999978	1.22429e-08
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.350268	0.100035	-1.76468e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.607323	0.100598	-3.46205e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	0.0219392	0.100104	-1.56028e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.186274	0.100314	-7.93424e-09
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.014474	0.0998201	-1.78297e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	-0.345877	0.100216	-2.20487e-08
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.213605	0.100254	-2.28245e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	-0.0963616	0.0994775	4.09908e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.253224	0.100265	-1.8982e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.10045	0.100022	3.57574e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	-0.238232	0.100508	-4.26502e-08
1	11	27	0	0.0	1.0	0.0
1 12 -1.44327 0.105131 -3.19282e-08 0.100022 3.57574e-09
1	13	29	0	0.0	1.0	0.0
1 14 -0.156881 0.100083 1.68892e-08 0.0998273 4.80393e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.0930497	0.100117	-1.26036e-08
2	1	33	0	0.0	1.0	0.0
