sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.0904649	0.100536	-2.72336e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.331939	0.100282	3.57437e-09
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.46668	0.0999645	-1.91366e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.0642473	0.100159	-7.05577e-09
0	9	9	0	0.0	1.0	0.0
0	10	10	0	0.0119271	0.10005	-1.82788e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.309646	0.100452	-1.2507e-08
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.116687	0.0996798	-1.08049e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	0.390987	0.0996361	3.77757e-08
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.0628939	0.0997989	-1.16201e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	-0.200648	0.0997139	1.69138e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.355568	0.0999949	-2.71466e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.109736	0.100021	3.80712e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	-0.234373	0.100494	-3.97574e-08
1	11	27	0	0.0	1.0	0.0
1 12 -1.44327 0.105131 -3.19282e-08 0.106317 -1.31807e-07
1	13	29	0	0.0	1.0	0.0
1 14 -0.271535 0.0996853 2.58911e-08 0.0995735 4.24975e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.0382393	0.100156	-1.95227e-08
2	1	33	0	0.0	1.0	0.0
