sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.134628	0.100937	-4.69015e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.181868	0.100172	-3.41667e-09
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.22953	0.100003	-1.51223e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.28048	0.100458	-2.46193e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	0.0348987	0.100067	-1.1649e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.450125	0.100194	8.42639e-10
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.0167608	0.0998294	-1.11198e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	-0.0448495	0.0998496	8.72337e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.0221822	0.100144	-1.315e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	-0.0955626	0.0996485	2.63774e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.343247	0.0999981	-2.12972e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.214069	0.0999934	5.35335e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.277005	0.100236	-1.61096e-08
1	11	27	0	0.0	1.0	0.0
1 12 -1.44327 0.105131 -3.19282e-08 0.106246 -1.27674e-07
1	13	29	0	0.0	1.0	0.0
1 14 -0.156881 0.100083 1.68892e-08 0.0996591 6.37625e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.148344	0.100085	-8.40641e-09
2	1	33	0	0.0	1.0	0.0
