sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.179283	0.100488	-8.46566e-10
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.218491	0.100135	-1.24682e-09
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.399796	0.100065	-1.68254e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.234039	0.100185	-2.3329e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	-0.0456251	0.100104	-2.14149e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.32612	0.100104	-5.78746e-09
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.28851	0.0999239	-1.27068e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	-0.0437422	0.099837	3.16306e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.19331	0.10018	-1.69673e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	-0.33042	0.0998773	6.06456e-09
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.29091	0.100239	-2.22165e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.238167	0.0999694	1.0528e-08
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.403709	0.0999723	3.68914e-09
1	11	27	0	0.0	1.0	0.0
1 12 -1.47455 0.105192 -3.77275e-08 0.10503 -2.86363e-08
1	13	29	0	0.0	1.0	0.0
1 14 0.0 0.0 0.0 0.00760632 3.36591e-06
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.147273	0.100057	-1.14599e-08
2	1	33	0	0.0	1.0	0.0
