sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.220042	0.100087	3.18313e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.261002	0.0996348	5.55525e-09
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.143583	0.0998945	-9.83954e-09
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.248899	0.100541	-2.34008e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	0.089321	0.0999209	-8.80825e-09
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.508573	0.100167	5.10673e-10
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.182485	0.0997157	-7.56561e-09
0	15	15	0	0.0	1.0	0.0
1	0	16	0	0.0779204	0.0996539	1.37911e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.128339	0.100211	-1.22289e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	0.847842	0.0991259	7.31294e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.355153	0.0999761	-1.86423e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.139553	0.100037	3.7215e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.21223	0.0998885	-8.56793e-09
1	11	27	0	0.0	1.0	0.0
1 12 -1.0207 0.10501 -3.10685e-08 0.104852 -1.22515e-08
1	13	29	0	0.0	1.0	0.0
1 14 -0.288594 0.0997405 2.1318e-08 0.0997798 4.43565e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.0931212	0.100096	-7.84477e-09
2	1	33	0	0.0	1.0	0.0
