sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.369139	0.100619	1.25228e-08
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.332064	0.100051	-3.38581e-09
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.262247	0.0999223	-1.1074e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.225164	0.100376	-2.70514e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	0.0348318	0.100011	-1.07495e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.150117	0.100338	-1.59327e-08
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.0115612	0.0998005	-1.33558e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	0.390987	0.0996361	3.77757e-08
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.205334	0.100227	-2.13551e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	0.121916	0.0993845	4.30422e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.0583305	0.100144	-1.50917e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.191835	0.0999916	5.32258e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.275047	0.099926	-1.73147e-08
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-1.44327	0.105131	-3.19282e-08
1	13	29	0	0.0	1.0	0.0
1	14	30	0	-0.156881	0.100083	1.68892e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.138321	0.100092	-1.26443e-08
2	1	33	0	0.0	1.0	0.0
