sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.0779913	0.100252	1.95715e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	0.447679	0.0999128	1.35053e-08
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.0878401	0.0999448	-7.75881e-09
0	7	7	0	0.0	1.0	0.0
0	8	8	0	0.0386541	0.0999757	-7.22722e-09
0	9	9	0	0.0	1.0	0.0
0	10	10	0	0.126036	0.100164	-6.39323e-09
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.194796	0.100041	-6.53934e-09
0	13	13	0	0.0	1.0	0.0
0	14	14	0	0.18458	0.0997083	-2.06082e-09
0	15	15	0	0.0	1.0	0.0
1	0	16	0	0.140776	0.0993257	9.58903e-09
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.0702286	0.100138	-1.26408e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	0.410222	0.09946	4.74399e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.06371	0.0996482	8.81282e-09
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.156916	0.100001	3.57587e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	0.336032	0.0997823	-7.44443e-09
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-1.15885	0.10486	-2.35005e-09
1	13	29	0	0.0	1.0	0.0
1	14	30	0	-4.03769	0.101341	-8.46442e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.156295	0.100031	-2.47024e-09
2	1	33	0	0.0	1.0	0.0
