sid	ch	det	crystal	a0	a1	a2
0	0	0	0	0.0523232	0.100578	-5.17093e-09
0	1	1	0	0.0	1.0	0.0
0	2	2	0	-0.941962	0.100439	-2.88018e-08
0	3	3	0	0.0	1.0	0.0
0	4	4	0	0.0	0.0	0.0
0	5	5	0	0.0	1.0	0.0
0	6	6	0	-0.450055	0.100057	-2.45484e-08
0	7	7	0	0.0	1.0	0.0
0	8	8	0	-0.494371	0.100608	-3.18485e-08
0	9	9	0	0.0	1.0	0.0
0	10	10	0	-0.351521	0.100323	-3.53834e-08
0	11	11	0	0.0	1.0	0.0
0	12	12	0	0.709091	0.100094	0.0
0	13	13	0	0.0	1.0	0.0
0	14	14	0	-0.473121	0.0999866	-2.96889e-08
0	15	15	0	0.0	1.0	0.0
1	0	16	0	0.390987	0.0996361	3.77757e-08
1	1	17	0	0.0	1.0	0.0
1	2	18	0	-0.297364	0.100375	-4.2542e-08
1	3	19	0	0.0	1.0	0.0
1	4	20	0	-0.374101	0.100283	-2.41859e-08
1	5	21	0	0.0	1.0	0.0
1	6	22	0	-0.0583305	0.100144	-1.50917e-08
1	7	23	0	0.0	1.0	0.0
1	8	24	0	0.325776	0.100069	-7.83945e-09
1	9	25	0	0.0	1.0	0.0
1	10	26	0	-0.295061	0.10048	-3.95632e-08
1	11	27	0	0.0	1.0	0.0
1	12	28	0	-1.44327	0.105131	-3.19282e-08
1	13	29	0	0.0	1.0	0.0
1	14	30	0	-0.594887	0.10013	1.36177e-08
1	15	31	0	0.0	1.0	0.0
2	0	32	0	0.121033	0.100159	-2.16417e-08
2	1	33	0	0.0	1.0	0.0
